,id,app_name,genres,tags,specs,combined_features
0,402350,sébastien loeb rally evopikes peak pack suzuki escudo pp,racing,racing,singleplayer,racing racing singleplayer
1,607030,jades journey 2,adventure,indie,singleplayer,adventure indie singleplayer
2,207320,ys the oath in felghana,action,great soundtrack,singleplayer,action great soundtrack singleplayer
3,339383,xplane 10 addoncarenadoct210m centurion ii,simulation,simulation,singleplayer,simulation simulation singleplayer
4,336860,alltynex second original soundtrack,action,action,singleplayer,action action singleplayer
5,530180,party harddark castle,action,strategy,singleplayer,action strategy singleplayer
6,678220,mansions of madnessdark reflections,adventure,strategy,singleplayer,adventure strategy singleplayer
7,494720,morphblade,casual,casual,singleplayer,casual casual singleplayer
8,751390,goplay editoramazing game recordervideo editor,utilities,utilities,none,utilities utilities none
9,618460,fantasy groundsquests of doom 2 5e,indie,strategy,multiplayer,indie strategy multiplayer
10,455990,smash pixel racing,action,early access,local multiplayer,action early access local multiplayer
11,253710,thehunter classic,action,free to play,singleplayer,action free to play singleplayer
12,231469,coh 2soviet skin h three color leningrad front,strategy,strategy,singleplayer,strategy strategy singleplayer
13,302750,the counting kingdom,casual,casual,singleplayer,casual casual singleplayer
14,392690,erwins timewarp,adventure,early access,singleplayer,adventure early access singleplayer
15,374080,falcon,simulation,simulation,singleplayer,simulation simulation singleplayer
16,576200,fantasy groundsminidungeon 015 torment at torni tower pfrpg,indie,strategy,multiplayer,indie strategy multiplayer
17,509636,rocksmith 2014 edition remastered 2000s mix song pack ii,casual,casual,singleplayer,casual casual singleplayer
18,437520,zegame,adventure,indie,singleplayer,adventure indie singleplayer
19,115340,prototype 2 radnet access pack,action,action,singleplayer,action action singleplayer
20,395235,helldiversdemolitionist pack,action,action,singleplayer,action action singleplayer
21,518080,through abandoned 2 the forest soundtrack,adventure,adventure,singleplayer,adventure adventure singleplayer
22,681560,no time to explain ost,action,action,singleplayer,action action singleplayer
23,452920,laser disco defenders,action,action,singleplayer,action action singleplayer
24,665300,stream avatars,animation amp modeling,video production,none,animation amp modeling video production none
25,734490,minimancer,adventure,strategy,singleplayer,adventure strategy singleplayer
26,270810,jones on fire,action,indie,singleplayer,action indie singleplayer
27,491020,revenge of the spirit rite of resurrection,adventure,adventure,singleplayer,adventure adventure singleplayer
28,417110,mayjasmine episode01what is god,adventure,visual novel,singleplayer,adventure visual novel singleplayer
29,347620,gaokaolove100days,adventure,dating sim,singleplayer,adventure dating sim singleplayer
30,348310,inquisitordeluxe edition upgrade,indie,rpg,singleplayer,indie rpg singleplayer
31,607400,necrosphere,action,action,singleplayer,action action singleplayer
32,548700,bit blaster xl soundtrack,action,action,singleplayer,action action singleplayer
33,352188,fsx steam editionsanta barbara airport ksba addon,simulation,simulation,singleplayer,simulation simulation singleplayer
34,573546,atelier firisatelier series special bgm pack アトリエシリーズスペシャルbgmパック,rpg,rpg,singleplayer,rpg rpg singleplayer
35,471920,panpan,adventure,adventure,singleplayer,adventure adventure singleplayer
36,257790,riptide gp2,action,racing,singleplayer,action racing singleplayer
37,288710,demolition master 3d,casual,simulation,singleplayer,casual simulation singleplayer
38,497360,gabriel knight 3 blood of the sacred blood of the damned,adventure,adventure,singleplayer,adventure adventure singleplayer
39,342857,rocksmith 2014 rockabilly song pack,casual,casual,singleplayer,casual casual singleplayer
40,574450,fantasy groundsmodern tokens 2 token pack,indie,strategy,multiplayer,indie strategy multiplayer
41,672510,deadlinerssoundtrack,action,strategy,singleplayer,action strategy singleplayer
42,436650,rocksmith 2014 incubus song pack ii,casual,casual,singleplayer,casual casual singleplayer
43,206097,rocksmiththree days gracei hate everything about you,casual,casual,singleplayer,casual casual singleplayer
44,705130,foundation of nightmares,adventure,adventure,singleplayer,adventure adventure singleplayer
45,222109,rocksmithsweetballroom blitz,casual,casual,singleplayer,casual casual singleplayer
46,615380,expansioncossacks 3 guardians of the highlands,strategy,strategy,singleplayer,strategy strategy singleplayer
47,333160,awesomenautscoco nebulon announcer,action,strategy,singleplayer,action strategy singleplayer
48,553670,beholderoriginal soundtrack,adventure,adventure,singleplayer,adventure adventure singleplayer
49,511940,the dwarvenaut,none,dragons,none,none dragons none
50,549110,magi trialssoundtrack,adventure,adventure,singleplayer,adventure adventure singleplayer
